Centre_ID,Centre_Title,Registration_Provider,Person_in_Charge,County,Maximum_Occupancy,Registration_Date,Registration_Conditions,Company_Directors,Chief_Inspector_Note,URL
5829,"Stewarts Care Adult Services Designated Centre 1","Stewarts Care DAC","Bridget Downey",Dublin,9,01-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 26/04/22. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 9.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-1
5842,"Stewarts Care Adult Services Designated Centre 10","Stewarts Care DAC","Noel Castelo",Dublin,7,06-09-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 28/11/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-10
5856,"Stewarts Care Adult Services Designated Centre 11","Stewarts Care DAC","Stephen Moore",Dublin,12,01-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 26/04/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 12.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-11
5849,"Stewarts Care Adult Services Designated Centre 12","Stewarts Care DAC",,Dublin,6,15-01-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 01/06/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-12
5860,"Stewarts Care Adult Services Designated Centre 15","Stewarts Care DAC","Olamide Olatunji",Dublin,8,31-05-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/12/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-15
5859,"Stewarts Care Adult Services Designated Centre 16","Stewarts Care DAC","Owen Hanratty",Dublin,9,17-12-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 13/01/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 9.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-16
5851,"Stewarts Care Adult Services Designated Centre 17","Stewarts Care DAC","Olubukola Oguntuase",Dublin,6,31-05-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 13/07/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-17
5852,"Stewarts Care Adult Services Designated Centre 18","Stewarts Care DAC","Genga Ponnu",Dublin,10,16-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 25/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-18
5853,"Stewarts Care Adult Services Designated Centre 19","Stewarts Care DAC","Slaney Cox",Dublin,8,31-05-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 16/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.Condition 4By 31 December 2023 the maximum number of residents to be accommodated in the designated centre is number is achieved the Chief Inspector requires the registered provider to apply to vary Condition 3 pursuant to Section 52 of the Health Act 2007 as amended to reduce the maximum number of residents registered for,  to 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-19
5850,"Stewarts Care Adult Services Designated Centre 2","Stewarts Care DAC","Jeanybeth Rosales",Dublin,13,31-03-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 13/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 13.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-2
5854,"Stewarts Care Adult Services Designated Centre 21","Stewarts Care DAC","Justina Ofeimu",Dublin,6,31-05-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 31/07/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-21
5834,"Stewarts Care Adult Services Designated Centre 22","Stewarts Care DAC","Vesna Marinic",Dublin,8,04-12-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 15/08/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-22
5843,"Stewarts Care Adult Services Designated Centre 23","Stewarts Care DAC","Sylia Hambakachere",Dublin,6,31-05-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 17/01/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-23
5836,"Stewarts Care Adult Services Designated Centre 24","Stewarts Care DAC","Stephen Moore",Dublin,4,29-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 31/01/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-24
5837,"Stewarts Care Adult Services Designated Centre 25","Stewarts Care DAC","Slaney Cox",Dublin,8,16-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-25
5839,"Stewarts Care Adult Services Designated Centre 26","Stewarts Care DAC","Godfrey Alex Omozokpia",Dublin,8,06-09-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 05/07/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-26
5855,"Stewarts Care Adult Services Designated Centre 27","Stewarts Care DAC","Julian Esambe",Dublin,7,06-09-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-27
5833,"Stewarts Care Adult Services Designated Centre 28","Stewarts Care DAC","Aine O'Reilly Tansey",Dublin,7,29-01-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 25/07/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-28
5845,"Stewarts Care Adult Services Designated Centre 29","Stewarts Care DAC","Eoghan Tracy",Dublin,4,04-12-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 25/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-29
5858,"Stewarts Care Adult Services Designated Centre 3","Stewarts Care DAC","Dylan Quigley",Dublin,18,06-09-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/04/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 18.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-3
7784,"Stewarts Care Adult Services Designated Centre 30","Stewarts Care DAC","Oluwakorede Ogunleye",Dublin,2,21-07-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 28/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-30
8179,"Stewarts Care Adult Services Designated Centre 31","Stewarts Care DAC","Brendan Palmer",Kildare,6,11-01-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/09/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-31
8516,"Stewarts Care Adult Services Designated Centre 33","Stewarts Care DAC","Oluwakorede Ogunleye",Kildare,2,13-06-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-33
5835,"Stewarts Care Adult Services Designated Centre 4","Stewarts Care DAC","Sarah Adams",Dublin,13,17-12-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 16/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 13.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-4
5832,"Stewarts Care Adult Services Designated Centre 5","Stewarts Care DAC","Imelda Wade",Dublin,15,31-03-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/03/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 15.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-5
5831,"Stewarts Care Adult Services Designated Centre 6","Stewarts Care DAC","Adebayo Olofin",Dublin,12,17-12-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 25/07/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 12.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-6
5861,"Stewarts Care Adult Services Designated Centre 7","Stewarts Care DAC","Mark Cuffe",Dublin,12,31-03-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/09/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 12.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-7
5830,"Stewarts Care Adult Services Designated Centre 8","Stewarts Care DAC","Amy Louise Dunican",Dublin,4,16-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/08/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-8
5838,"Stewarts Care Adult Services Designated Centre 9","Stewarts Care DAC","Braimoh Ojekhebholo",Dublin,7,06-09-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 17/01/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adult-services-designated-centre-9
5857,"Stewarts Care Adults Services Designated Centre 20","Stewarts Care DAC","Maria Lourdes Agnes",Dublin,6,25-12-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 01/06/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Muriel Pate,  Ciarán O'Mara,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-adults-services-designated-centre-20
3910,"Stewarts Care Children/Adult Home Designated Centre 13","Stewarts Care DAC","Oluwakorede Ogunleye",Dublin,3,03-07-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 06/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged between 13 and 22 years may reside in the designated until such date when all residents are over the age of 18 years. On that date,  the Chief Inspector requires the registered provider to apply to vary Condition number 2 pursuant to Section 52 of the Health Act 2007 as amended to accommodate residents 18 years of age or older in the designated centre.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Edel Conway,  Eugene Foley,  Mary McCarron,  Mark Ronan,  Dermot Mullen,  Ray Sharpe,  John Hynes",,https://www.hiqa.ie/areas-we-work/find-a-centre/stewarts-care-childrenadult-home-designated-centre-13
